,group,group_id,gender,sniffing_fra,grooming_fra,sniffing_fre,grooming_fre,SG_fra_index,SG_fre_index,GS_fra_index,GS_fre_index,color
0,Morning_Light-on,1,male,48.038329416018804,0.001,55.0,0.1,48038.3294160188,550.0,2.081671057583741e-05,0.0018181818181818182,#F5B25E
1,Night_Light-on,3,female,41.46100691016782,0.001,50.0,0.1,41461.00691016782,500.0,2.411904761904762e-05,0.002,#398FCB
2,Night_Light-on,3,male,22.727272727272727,0.8532423208191127,36.0,1.0,26.636363636363633,36.0,0.03754266211604096,0.027777777777777776,#398FCB
3,Night_Light-on,3,female,47.629828781661246,0.8348662798924579,53.0,1.0,57.05084745762712,53.0,0.01752822341057635,0.018867924528301886,#398FCB
4,Morning_Light-on,1,male,53.60400117681671,3.2362459546925564,52.0,5.0,16.563636363636366,10.4,0.06037321624588364,0.09615384615384616,#F5B25E
5,Morning_Light-on,1,male,45.70842537077942,2.130009466708741,46.0,3.0,21.45925925925926,15.333333333333334,0.046599930963065236,0.06521739130434782,#F5B25E
6,Morning_Light-on,1,male,32.24574247970715,2.053159318796753,35.0,3.0,15.705426356589149,11.666666666666666,0.06367226061204342,0.08571428571428572,#F5B25E
7,Night_Light-on,3,female,40.12268008807801,0.015728216420257943,41.0,0.1,2551.0,410.0,0.0003920031360250882,0.0024390243902439024,#398FCB
8,Night_Light-on,3,male,41.62472035794183,3.453579418344519,48.0,4.0,12.052631578947368,12.0,0.08296943231441048,0.08333333333333333,#398FCB
9,Night_Light-on,3,female,37.87279913762127,0.7186489399928134,46.0,1.0,52.7,46.0,0.018975332068311195,0.021739130434782608,#398FCB
10,Morning_Light-on,1,female,29.048248512888303,0.001,39.0,0.1,29048.2485128883,390.0,3.4425483503981796e-05,0.002564102564102564,#F5B25E
11,Morning_Light-on,1,male,40.06918420294033,0.001,49.0,0.1,40069.18420294033,490.0,2.4956834532374103e-05,0.0020408163265306124,#F5B25E
12,Morning_Light-on,1,female,29.3207222699914,0.4299226139294927,36.0,1.0,68.19999999999999,36.0,0.01466275659824047,0.027777777777777776,#F5B25E
13,Night_Light-on,3,male,40.25332097621254,0.001,42.0,0.1,40253.32097621254,420.0,2.484267075978511e-05,0.002380952380952381,#398FCB
14,Night_Light-on,3,male,58.57019810508183,0.001,40.0,0.1,58570.19810508183,400.0,1.7073529411764706e-05,0.0025,#398FCB
15,Night_Light-on,3,female,39.970382337102855,0.7269789983844911,53.0,1.0,54.98148148148148,53.0,0.018187942068036374,0.018867924528301886,#398FCB
16,Morning_Light-on,1,female,31.08018555334659,0.19880715705765406,42.0,0.1,156.33333333333334,420.0,0.006396588486140724,0.002380952380952381,#F5B25E
17,Morning_Light-on,1,female,31.632833186231245,3.9011473962930276,30.0,1.0,8.108597285067873,30.0,0.12332589285714286,0.03333333333333333,#F5B25E
18,Morning_Light-on,1,female,32.346509671993275,1.0092514718250631,34.0,1.0,32.050000000000004,34.0,0.031201248049921994,0.029411764705882353,#F5B25E
19,Night_Light-on,3,male,51.5961509088132,0.9164502825721704,43.0,1.0,56.300000000000004,43.0,0.017761989342806393,0.023255813953488372,#398FCB
20,Night_Light-on,3,female,35.10913268236646,0.2010338885697875,50.0,1.0,174.64285714285714,50.0,0.0057259713701431495,0.02,#398FCB
21,Night_Light-on,3,male,30.65962215818124,3.9545308997758566,32.0,5.0,7.753036437246965,6.4,0.1289817232375979,0.15625,#398FCB
22,Morning_Light-on,1,female,39.88688792975145,4.241702634320584,55.0,1.0,9.403508771929824,55.0,0.10634328358208955,0.01818181818181818,#F5B25E
23,Morning_Light-on,1,male,27.918027918027917,1.3513513513513513,40.0,3.0,20.65934065934066,13.333333333333334,0.04840425531914894,0.075,#F5B25E
24,Morning_Light-on,1,female,27.794871794871796,0.001,40.0,0.1,27794.871794871797,400.0,3.597785977859779e-05,0.0025,#F5B25E
25,Night_Light-on,3,male,51.52950730914997,2.7612344342176502,61.0,3.0,18.66176470588235,20.333333333333332,0.05358550039401103,0.04918032786885246,#398FCB
26,Morning_Light-on,1,male,41.85005594927266,3.1704587840358074,61.0,3.0,13.2,20.333333333333332,0.07575757575757576,0.04918032786885246,#F5B25E
27,Morning_Light-on,1,female,29.817363684489145,2.52779248279513,40.0,3.0,11.795811518324605,13.333333333333334,0.0847758544163338,0.075,#F5B25E
28,Morning_Light-on,1,female,41.00801832760595,1.1963853888252514,78.0,2.0,34.27659574468085,39.0,0.02917442582247052,0.02564102564102564,#F5B25E
29,Night_Light-on,3,male,45.0965250965251,20.9707666850524,50.0,9.0,2.1504471330878485,5.555555555555555,0.46501956947162426,0.18,#398FCB
30,Night_Light-on,3,male,49.09309440559441,3.1140734265734262,56.0,3.0,15.764912280701756,18.666666666666668,0.06343200534164255,0.05357142857142857,#398FCB
31,Night_Light-on,3,male,35.07804090419806,0.6593110871905274,41.0,2.0,53.20408163265306,20.5,0.018795550441120062,0.04878048780487805,#398FCB
32,Morning_Light-on,1,male,41.729913635174036,1.0991886940591469,63.0,2.0,37.96428571428571,31.5,0.02634054562558796,0.031746031746031744,#F5B25E
33,Morning_Light-on,1,male,43.34667922750825,0.09420631182289213,69.0,0.1,460.12500000000006,690.0,0.0021733224667209996,0.0014492753623188406,#F5B25E
34,Morning_Light-on,1,female,44.274809160305345,4.059680777238029,47.0,4.0,10.905982905982908,11.75,0.09169278996865203,0.0851063829787234,#F5B25E
35,Night_Light-on,3,female,31.94229778464709,8.24317362184441,50.0,7.0,3.8750000000000004,7.142857142857143,0.25806451612903225,0.14,#398FCB
36,Night_Light-on,3,female,23.354782100029247,3.553670663936823,28.0,2.0,6.57201646090535,14.0,0.15216030056355664,0.07142857142857142,#398FCB
37,Night_Light-on,3,male,27.14094286758436,3.7032525277134853,50.0,4.0,7.328947368421053,12.5,0.1364452423698384,0.08,#398FCB
38,Morning_Light-on,1,male,30.32569736637058,1.8544491195262585,47.0,2.0,16.352941176470587,23.5,0.06115107913669065,0.0425531914893617,#F5B25E
39,Morning_Light-on,1,male,36.664023261961404,0.21147237642083003,62.0,2.0,173.375,31.0,0.005767844268204759,0.03225806451612903,#F5B25E
40,Morning_Light-on,1,female,25.91445935099186,1.8919848641210868,40.0,2.0,13.696969696969699,20.0,0.07300884955752211,0.05,#F5B25E
41,Night_Light-on,3,female,30.173564753004005,5.134118218230368,43.0,3.0,5.877068557919621,14.333333333333334,0.17015285599356397,0.06976744186046512,#398FCB
42,Night_Light-on,3,female,21.64328657314629,0.9352037408149633,43.0,2.0,23.142857142857142,21.5,0.04320987654320988,0.046511627906976744,#398FCB
43,Night_Light-on,3,female,27.798021863612703,2.017178552837064,41.0,3.0,13.780645161290323,13.666666666666666,0.07256554307116105,0.07317073170731707,#398FCB
44,Morning_Light-on,1,female,33.62243422954611,7.444348077479041,50.0,4.0,4.5165048543689315,12.5,0.22141014617368876,0.08,#F5B25E
45,Morning_Light-on,1,male,36.08836706318554,1.7766105360729183,33.0,1.0,20.313043478260866,33.0,0.04922945205479452,0.030303030303030304,#F5B25E
46,Night_Light-on,3,female,27.65282869315367,26.790845140196172,44.0,22.0,1.0321745562130178,2.0,0.968828376925833,0.5,#398FCB
47,Night_Light-on,3,male,33.626612028444015,3.8688682656381825,42.0,6.0,8.69158878504673,7.0,0.11505376344086023,0.14285714285714285,#398FCB
48,Morning_Light-on,1,male,36.76734449760766,3.8875598086124405,36.0,3.0,9.457692307692309,12.0,0.10573403822692151,0.08333333333333333,#F5B25E
49,Morning_Light-on,1,female,19.513964454116795,11.570547696771854,30.0,8.0,1.6865203761755487,3.75,0.5929368029739777,0.26666666666666666,#F5B25E
50,Night_Light-on,3,female,35.48783484885721,13.83632342098796,43.0,10.0,2.564831261101243,4.3,0.38988919667590033,0.23255813953488372,#398FCB
51,Night_Light-on,3,male,26.866657856482096,8.920311880533898,49.0,6.0,3.011851851851852,8.166666666666666,0.3320216428922774,0.12244897959183673,#398FCB
52,Morning_Light-on,1,female,29.678341672623304,4.417441029306648,47.0,4.0,6.718446601941747,11.75,0.14884393063583815,0.0851063829787234,#F5B25E
53,Morning_Light-on,1,male,36.16904500548848,1.9941456275155507,32.0,2.0,18.137614678899084,16.0,0.05513404147698533,0.0625,#F5B25E
54,Night_Light-on,3,female,34.755624515128005,17.30023273855702,27.0,10.0,2.008968609865471,2.7,0.49776785714285715,0.37037037037037035,#398FCB
55,Night_Light-on,3,male,35.52598856005969,3.780154190499876,43.0,1.0,9.398026315789473,43.0,0.1064053202660133,0.023255813953488372,#398FCB
56,Morning_Light-on,1,female,32.970156324017054,5.84241275856624,57.0,2.0,5.643243243243243,28.5,0.1772030651340996,0.03508771929824561,#F5B25E
57,Morning_Light-on,1,male,45.15057335762512,1.2324509698853285,58.0,1.0,36.63478260869565,58.0,0.027296463327794923,0.017241379310344827,#F5B25E
58,Night_Light-on,3,female,33.024805627545355,23.608540046896213,36.0,13.0,1.3988499738630422,2.769230769230769,0.7148729446935725,0.3611111111111111,#398FCB
59,Night_Light-on,3,male,53.53342428376535,3.1514324693042295,56.0,4.0,16.987012987012985,14.0,0.05886850152905199,0.07142857142857142,#398FCB
60,Afternoon_Light-on,0,male,50.322211084061294,0.3580123156236575,71.0,1.0,140.56,71.0,0.0071143995446784295,0.014084507042253521,#936736
61,Afternoon_Light-on,0,female,39.978252990213846,0.12081672103419112,81.0,1.0,330.90000000000003,81.0,0.0030220610456331213,0.012345679012345678,#936736
62,Afternoon_Light-on,0,female,42.96255046637895,0.19490463594598356,59.0,1.0,220.42857142857144,59.0,0.004536616979909268,0.01694915254237288,#936736
63,Night_Light-off,2,male,45.51202961135102,4.919802590993214,69.0,16.0,9.25078369905956,4.3125,0.10809894950864114,0.2318840579710145,#003960
64,Night_Light-off,2,male,56.09951845906902,1.8298555377207062,58.0,5.0,30.657894736842103,11.6,0.03261802575107296,0.08620689655172414,#003960
65,Night_Light-off,2,female,56.69371196754563,0.5360764995653433,78.0,3.0,105.75675675675676,26.0,0.009455660618451316,0.038461538461538464,#003960
66,Afternoon_Light-on,0,female,49.285228046289994,0.001,90.0,0.1,49285.228046289994,900.0,2.0290055248618784e-05,0.0011111111111111111,#936736
67,Afternoon_Light-on,0,male,30.573523070288918,2.57294810981745,25.0,1.0,11.88268156424581,25.0,0.08415608838740009,0.04,#936736
68,Afternoon_Light-on,0,male,45.583468395461914,1.2695840086439762,67.0,2.0,35.90425531914894,33.5,0.02785185185185185,0.029850746268656716,#936736
69,Night_Light-off,2,female,38.00955861681192,6.241214506606691,70.0,9.0,6.09009009009009,7.777777777777778,0.16420118343195264,0.12857142857142856,#003960
70,Night_Light-off,2,female,47.24653292042548,2.410125218796284,69.0,7.0,19.603351955307264,9.857142857142858,0.051011684240524366,0.10144927536231885,#003960
71,Night_Light-off,2,male,39.28656361474435,0.8799048751486327,28.0,3.0,44.648648648648646,9.333333333333334,0.022397094430992737,0.10714285714285714,#003960
72,Afternoon_Light-on,0,male,48.00647894343384,3.0774981310740093,68.0,4.0,15.59919028340081,17.0,0.06410589151310667,0.058823529411764705,#936736
73,Afternoon_Light-on,0,male,49.992725156409136,0.9166302924487123,62.0,2.0,54.539682539682545,31.0,0.018335273573923165,0.03225806451612903,#936736
74,Afternoon_Light-on,0,female,52.83265733350778,4.592437524532252,60.0,6.0,11.504273504273504,10.0,0.08692421991084696,0.1,#936736
75,Night_Light-off,2,female,35.49232988068704,1.6520256981775272,72.0,4.0,21.484126984126988,18.0,0.04654599187292205,0.05555555555555555,#003960
76,Night_Light-off,2,female,38.86806596701649,0.5997001499250375,64.0,1.0,64.8125,64.0,0.015429122468659595,0.015625,#003960
77,Night_Light-off,2,male,41.43106965899155,2.462838822500729,68.0,2.0,16.822485207100588,34.0,0.059444249032711935,0.029411764705882353,#003960
78,Afternoon_Light-on,0,female,35.64482519101644,1.389210465385506,78.0,5.0,25.65833333333333,15.6,0.03897369275738877,0.0641025641025641,#936736
79,Afternoon_Light-on,0,male,32.04158790170133,0.14177693761814747,43.0,0.1,226.0,430.0,0.004424778761061947,0.002325581395348837,#936736
80,Afternoon_Light-on,0,male,47.03906444389151,3.0977855187857677,61.0,5.0,15.184738955823292,12.2,0.06585559375826501,0.08196721311475409,#936736
81,Night_Light-off,2,female,46.18605703938434,6.609325486645541,77.0,19.0,6.988013698630137,4.052631578947368,0.1431021808380299,0.24675324675324675,#003960
82,Night_Light-off,2,male,51.444633285396776,2.91541377957903,69.0,6.0,17.6457399103139,11.5,0.056670902160101656,0.08695652173913043,#003960
83,Night_Light-off,2,female,39.91567111735769,6.718200983836963,66.0,5.0,5.941422594142259,13.2,0.16830985915492958,0.07575757575757576,#003960
84,Afternoon_Light-on,0,female,48.386743957125674,0.9296729738597834,94.0,2.0,52.04705882352942,47.0,0.019213381555153706,0.02127659574468085,#936736
85,Afternoon_Light-on,0,female,39.739727678033496,7.579226412820822,63.0,14.0,5.243243243243243,4.5,0.1907216494845361,0.2222222222222222,#936736
86,Afternoon_Light-on,0,female,40.28146268312378,2.0186872765024804,74.0,4.0,19.954285714285714,18.5,0.05011454753722795,0.05405405405405406,#936736
87,Night_Light-off,2,male,42.41618667848176,5.745089351646729,75.0,8.0,7.3830334190231355,9.375,0.1354456824512535,0.10666666666666667,#003960
88,Night_Light-off,2,male,45.22930943595151,4.023897381830961,65.0,2.0,11.240174672489083,32.5,0.08896658896658896,0.03076923076923077,#003960
89,Night_Light-off,2,male,42.172354269021376,2.828309653432479,76.0,4.0,14.910798122065726,19.0,0.0670654911838791,0.05263157894736842,#003960
90,Afternoon_Light-on,0,male,50.68339681828367,17.56665919784898,59.0,16.0,2.885204081632653,3.6875,0.34659593280282935,0.2711864406779661,#936736
91,Afternoon_Light-on,0,female,45.05882352941176,2.485294117647059,84.0,1.0,18.130177514792898,84.0,0.05515665796344648,0.011904761904761904,#936736
92,Afternoon_Light-on,0,male,46.26884743163813,17.173524150268335,54.0,8.0,2.694196428571429,6.75,0.37116818558409276,0.14814814814814814,#936736
93,Night_Light-off,2,female,46.608643457382954,4.456782713085234,58.0,6.0,10.457912457912458,9.666666666666666,0.09562137797810688,0.10344827586206896,#003960
94,Night_Light-off,2,male,44.40100093837973,7.491398185799186,61.0,8.0,5.926931106471817,7.625,0.168721380767876,0.13114754098360656,#003960
95,Night_Light-off,2,female,48.16258351893096,7.126948775055679,55.0,8.0,6.757812500000001,6.875,0.14797687861271674,0.14545454545454545,#003960
96,Night_Light-off,2,male,37.747653806047964,12.36406971547743,59.0,8.0,3.053012048192771,7.375,0.3275453827940016,0.13559322033898305,#003960
97,Night_Light-off,2,male,33.55617856372655,2.4584860901444903,47.0,3.0,13.649122807017543,15.666666666666666,0.07326478149100257,0.06382978723404255,#003960
98,Night_Light-off,2,female,36.13661994522314,1.4499758337361044,58.0,2.0,24.922222222222224,29.0,0.040124832813196606,0.034482758620689655,#003960
99,Afternoon_Light-on,0,female,41.24195942602672,2.350321622958931,35.0,1.0,17.54736842105263,35.0,0.056988602279544096,0.02857142857142857,#936736
100,Afternoon_Light-on,0,male,49.64639321074964,2.215935879302216,22.0,1.0,22.404255319148934,22.0,0.0446343779677113,0.045454545454545456,#936736
101,Afternoon_Light-on,0,female,50.95642168847979,3.351071479936718,52.0,2.0,15.206008583690986,26.0,0.06576347727914197,0.038461538461538464,#936736
102,Night_Light-off,2,male,42.77219311907122,8.707348152343197,57.0,5.0,4.912195121951219,11.4,0.2035749751737835,0.08771929824561403,#003960
103,Night_Light-off,2,female,45.51924943384018,7.457133613717244,52.0,9.0,6.10412147505423,5.777777777777778,0.16382373845060413,0.17307692307692307,#003960
104,Night_Light-off,2,male,44.176,1.568,58.0,4.0,28.1734693877551,14.5,0.03549438609199566,0.06896551724137931,#003960
105,Afternoon_Light-on,0,female,40.49994748450793,20.85915345026783,68.0,18.0,1.9415911379657602,3.7777777777777777,0.5150414937759337,0.2647058823529412,#936736
106,Afternoon_Light-on,0,female,42.033005131049784,4.409929274719179,55.0,5.0,9.531446540880504,11.0,0.10491586935004948,0.09090909090909091,#936736
107,Night_Light-off,2,male,38.12466415905427,2.9016657710908116,76.0,7.0,13.138888888888888,10.857142857142858,0.07610993657505287,0.09210526315789473,#003960
108,Night_Light-off,2,female,36.36927658518427,3.883856557885594,69.0,8.0,9.364217252396166,8.625,0.10678949164107814,0.11594202898550725,#003960
109,Night_Light-off,2,male,47.157354199779924,2.8854383176427434,93.0,8.0,16.343220338983052,11.625,0.06118745138708841,0.08602150537634409,#003960
110,Afternoon_Light-on,0,male,37.161977601748156,3.2641354821087134,59.0,2.0,11.384937238493723,29.5,0.08783535464902609,0.03389830508474576,#936736
111,Afternoon_Light-on,0,male,54.4435857805255,2.743431221020093,77.0,2.0,19.84507042253521,38.5,0.0503903477643719,0.025974025974025976,#936736
112,Afternoon_Light-on,0,male,52.193261284170376,0.04767959313413859,57.0,0.1,1094.6666666666667,570.0,0.0009135200974421437,0.0017543859649122807,#936736
113,Night_Light-off,2,female,55.3249404559374,4.21912215039129,80.0,5.0,13.112903225806452,16.0,0.07626076260762607,0.0625,#003960
114,Night_Light-off,2,female,50.81289611463213,2.121796638192339,79.0,4.0,23.94805194805195,19.75,0.041757049891540124,0.05063291139240506,#003960
115,Night_Light-off,2,female,43.47069842119347,5.084292213005084,71.0,4.0,8.549999999999999,17.75,0.11695906432748539,0.056338028169014086,#003960
116,Afternoon_Light-on,0,female,41.23015873015873,9.007936507936508,64.0,5.0,4.577092511013215,12.8,0.21847930702598653,0.078125,#936736
117,Afternoon_Light-on,0,male,33.35413027202396,5.864736710756176,54.0,4.0,5.687234042553192,13.5,0.17583239805462025,0.07407407407407407,#936736
118,Afternoon_Light-on,0,female,45.660942722138984,15.927163766278667,54.0,15.0,2.866859623733719,3.6,0.3488137304391722,0.2777777777777778,#936736
119,Afternoon_Light-on,0,male,33.54305937868659,2.1496919648708874,67.0,3.0,15.603658536585368,22.333333333333332,0.06408753419304415,0.04477611940298507,#936736
